tweet,image_url,label
# 突发 # 南京 小学生 秋游 发生 电梯 踩踏   16 受伤 今天上午 南京 一所 小学 组织 秋游 四五十名 小学生 一家 商场 游乐场 游玩 乘坐 电梯 孩子 不知 何故 后退 导致 踩踏 事件 16 名 孩子 受伤 转送 市区 医院 治疗 O 南京 小学 秋游 . 电梯 踩踏 16 伤 ,60718250jw1exuom617fpj20fa0bgmxs 60718250jw1exuom6dmjrj20fa0bg0tj 60718250jw1exuom6imsrj20fa0bg3z9 60718250jw1exuom79aq3j20fa0bggmd 60718250jw1exuom7m7k2j20a70dmq39 60718250jw1exuoma1eeyj20go0gomyn    ,0
" 岁 女孩 因不帮 同学 写 作业   手臂 30 多个 指甲 血印 近日 郑州 寄宿 小学 三年级 岁 女孩 玲玲 回到 家时 父母 发现 右臂 人用 指甲 掐 30 多个 伤痕 掐伤 玲玲 竟是 同班同学 原因 竟是 玲玲 愿意 帮 写 作业 校方 表示 原本 仅 孩子 闹着玩 没想到 严重 O30 多个 指甲 血印 郑州 岁 女孩 学校 经历 ,  ",4ee36f05jw1exqhuqhue0j20hs0e8jse 4ee36f05jw1exqhuqju9qj20hs0e8jsd 4ee36f05jw1exqhuquzmsj20hs0e8tad 4ee36f05jw1exqhuq55x6j20hs0e8dgv 4ee36f05jw1exqhuquawnj20hs0e8abs 4ee36f05jw1exqhur2brqj20hs0e875q 4ee36f05jw1exqhurka1ej20hs0e8q4e 4ee36f05jw1exqhurj5zjj20hs0e8405 4ee36f05jw1exqhurq1w5j20hs0e8t9s ,0
" 夫妻 想 一起 进 试衣间 拒   欲 投诉 遭 店员 殴打 马先生 妻子 珠海市 富华 里 服装店 购物 , 马 太太 打算 试衣间 试 衣服 , 马先生 陪同 进入 帮忙 , 未进 试衣间 , 店员 张某 拦下 感觉 店员 服务态度 不好 , 两 人称 找 经理 投诉 两位 店员 , 张某 立刻 动手 O 一对 男女 想 一起 进 试衣间 拒   欲 投诉 遭 店员 暴打  ",4ee36f05gw1exmh9ph5bxj20go0ajq38 4ee36f05gw1exmh9pxzxbj20go0a7dgb 4ee36f05gw1exmh9qbql8j20gs0g6q3r 4ee36f05gw1exmh9qob5aj20gd0h8my0 4ee36f05gw1exmh9qvzr8j20gs0glwf4     ,0
名 小学生 铁轨 上放 石子 玩 逼停 两列 动车 火车 车窗 击碎 月 日 上午 襄阳 名 小学生 钻入 铁道线 碎石 放置 铁轨 武昌 开往 襄阳 两列 动车 被迫 紧急停车 一车 车窗 弹起 碎石 击中 出现 裂纹 四名 小学生 民警 查获 询问 批评 教育 监护人 进行 经济 赔偿   O 快讯 ,4ee36f05jw1ezmojfr7vzj20dw0ii0u6 4ee36f05jw1ezmojhmaeqj20dw0afq39        ,0
茶叶 引发 世界大战   [ source :   O 网页 链接   ] ,6aa09e8fjw1ezma92mfimj20k00y3dld 6aa09e8fjw1ezma93jhiaj20k00y3wky 6aa09e8fjw1ezma94hb0pj20k00y0afa 6aa09e8fjw1ezmab512ccj20k00xxn4r 6aa09e8fjw1ezma96amj9j20k00xuq7v     ,0
俄 特警 持枪 女友 求婚   女友 当场 接受 英国 每日 邮报 报道   近日 俄罗斯 罗斯托夫 市 特警 带 一帮 兄弟 当街 拦停 一辆 汽车 用枪 指着 女 乘客 令其 下车 当女 乘客 惊慌失措 时 特警 后备箱 拿出 花 戒指 女子 求婚 女子 当场 落泪 接受 求婚 O 网页 链接 国际 在线 L 俄 特警 持枪 拦车 只为 女 乘客 求婚 ,4ee36f05jw1ezl9vuh08pj20hm09d75n 4ee36f05jw1ezl9vv1yanj20hm09dq43 4ee36f05jw1ezl9vvtxlxj20hm09cabi 4ee36f05jw1ezl9vwas51j20hm09bgmq 4ee36f05jw1ezl9vwykj9j20hm09edh6 4ee36f05jw1ezl9vxirjhj20hm09agmw    ,0
# 突发 # 黑龙江 牡丹江市 林口县 发生 6.4 级 地震 中国 地震 台网 正式 测定 01 月 02 日 12 时 22 分在 黑龙江 牡丹江市 林口县 （ 北纬 44.8 度 东经 129.9 度 ） 发生 6.4 级 地震 震源 深度 580 千米 O 黑龙江 林口县 发生 6.4 级 地震 ,60718250jw1ezl287h1axj20m20fpacu 60718250jw1ezl284vmjpj20go0gomyn        ,0
婚检 女友 查出 疑似 艾滋 隐瞒   小伙 婚后 感染 去年 三月 河南 男子 小新 女友 前往 永城市 妇幼保健 院 婚检 时 医生 查出 女友 小叶 疑似 感染 艾滋病毒 单独 叫住 小叶 小新 得到 医生 答复 一切正常 婚后 小新 感染 艾滋 医院 疾控中心 告上 法庭 O 婚检 时 女友 艾滋 瞒 . 小伙 感染 ,4ee36f05gw1ezudcebvdmj20ca09st92 4ee36f05gw1ezudceht8hj20c509tdg9 4ee36f05gw1ezudcfmn8mj20c809qq3a 4ee36f05gw1ezudcgn2gej20c909sq3e 4ee36f05gw1ezudch6x88j20c809rjrt 4ee36f05gw1ezudchhrvlj20c709raae 4ee36f05gw1ezudchn4vjj20c609rgls 4ee36f05gw1ezudcipr5fj20c509q74w  ,0
泰国 旅游 # 女子 蛇 亲吻 咬 #   网友 爆 上海 旅行团 一位 女 游客 泰国 曼谷 蛇 药店 一条 蛇 亲吻 时 突然 毒蛇 一口 咬住 鼻子 当场 血流 满面 网友 @ Power 峰哥 称 视频 中 女 游客 永康 泰国 旅游 时出 事 O 中国 女 游客 泰国 吻 蛇 咬 鼻子   血流 满面 视频 O 秒 拍 视频 ,70859321gw1ezu94dseo9j20c8096aaq 70859321gw1ezu94dycx8j20c8096dgm 70859321gw1ezu94dti0cj20c80950tc http://ww1.sinaimg.cn/orj480/736f0c7ejw1ezti0k4psoj208w06oq3c      ,0
周永康 & quot ; 神秘 情人 & quot ; 李晓梅 查   隐秘 敛财 术 曝光 知情人 透露 李晓梅 & quot ; 周永康 关系密切 & quot ; 特殊 身份 得到 时任 中 石油 副总经理 蒋洁敏 关照 违规 获得 包括 天然气 公用 指标 稀缺资源 参与 经营 多个 加油站 服务区 油库 从中 牟利 严重 扰乱 国家 油气 资源管理 秩序 O 长春 新闻 ,4ee36f05gw1ezijhgkf62j20b40do3yu 4ee36f05gw1eziji6kbgnj20b407mjro 4ee36f05gw1eziji6r4w8j20b40b1aaj       ,0
成都 男子 乱 停车 叫嚣 交警 信不信 脱衣服 近日 成都 男子 开着 一辆 未 年检 宝马 轿车 街头 乱 停放 交警 两次 劝阻 男子 态度 交警 叫嚣 信不信 脱衣服 交警 其带 离时 司机 多名 亲友 上千 阻碍 一名 女子 乱 扇 协警 耳光 目前 涉案 多人 处罚 O 成都 宝马 男乱 停放 叫嚣 交警 & quot ; 脱衣服 & quot ; 拘 ,4ee36f05gw1ezhoy5zwupj20sg0ip42l 4ee36f05gw1ezhoy6vafnj20sg0khn1b 4ee36f05gw1ezhoy7j4yjj20sg0k90x5 4ee36f05gw1ezhoy8g02zj20sg0jxtch      ,0
# 拍案 # 南昌大学 落马 校长 不服 无期 判决 : 士可杀不 可辱 南昌大学 原 校长 周文斌 职务 犯罪案件 今天 一审 宣判 最终 法院 受贿 挪用公款 判处 无期徒刑 听到 判决 周文斌 即刻 表示 上诉 四天 前 写 上诉状 称 士可杀不 可辱 决不 屈服 荣誉 抗争 到底 ! 详见 O 南昌大学 原 校长 周文斌 诉状 曝光 ,60718250jw1ezgqeuzmz3j20fa0a6dhe 60718250jw1ezgqf3ginoj20fa0ay0tl 60718250jw1ezgqf5yomhj20go0go0v6       ,0
太狠 竟有 讨要 礼物 神奇 朋友 接大招 # 心愿 买单 #   O 网页 链接 ,4ee36f05jw1ezc495gy7mg20720b4goi.gif 4ee36f05jw1ezc4989wr4g20720b4mz3.gif 4ee36f05jw1ezc49c61gbg20720b4acz.gif 4ee36f05jw1ezc49ff083j20ae0apjtf      ,0
四川 11 名 智障女 拐 外地 生娃   年龄 最小 仅 13 岁 23 日 记者 遂宁市 公安局 获悉 警方 成功 解救 出 多名 智障 妇女 11 名 智障女 性 犯罪团伙 贩卖 山东 聊城 处 非法 获利 80 余万元 拐 女性 沦为 生育 工具 年龄 最小 孩子 仅 13 岁 目前 两名 主犯 拐卖妇女 儿童 罪 被判 死缓 O 网页 链接 ,4ee36f05gw1ezar0medirj20go0czab7 4ee36f05gw1ezar0n09qzj20go0cidgh 4ee36f05gw1ezar0nn30yj20go09eq3k       ,0
一字 一书 总结 2015 吴敬琏 勤 马伯庸 累 李银河 居然 … … # 2015 年度 字 # ,4ee36f05gw1ez892h9lilj20hs0tetem 4ee36f05gw1ez892hzcxyj20hs0tejv0 4ee36f05gw1ez892iq271j20rs1deqco 4ee36f05gw1ez892j4linj20hs0teq8m 4ee36f05gw1ez892jnmz5j20hs0ten28 4ee36f05gw1ez892k0r9sj20hs0vk0x6 4ee36f05gw1ez892kh4v7j20hs0teaf0 4ee36f05gw1ez892kwt9ej20hs0tewjf 4ee36f05gw1ez892lhon7j20hs0te0xg ,0
广州 老太 找到 监控 死角   刮 14 辆车 抓 近期 广州 停车场 38 天内 接连 14 辆车 刮花 一辆 价值 百万 保时捷 刮 定 损价 12700 元 这位 刮车 神秘 专挑 监控 死角 物管 负责 唱 一出 空城计 发现 神秘 竟是 解雇 停车场 看管 员 一位 67 岁 老太 O 广州 神秘 刮车 找到 监控 死角   刮 14 辆车 终 设计 抓获 ,4ee36f05gw1ez77zsa8e5j20c80fvglx 4ee36f05gw1ez77ztmvh6j20c709gt92        ,0
# 图看 天下 #   消防员 穿 火层 救 19   头盔 让给 婴儿 17 日 江西 龙虎山 镇 某楼 失火 19 名 住户 被困 消防 战士 穿越 火层 救人 消防员 李华彪 不顾 安危 消防 头盔 让给 婴儿 空气 呼吸器 压力 不足 休克 清醒 救人 最终 被困 群众 全 救出 无一 伤亡 O 网页 链接 ,4ee36f05gw1ez4wxigup1j20q40he763 4ee36f05gw1ez4wxitfasj20q40heq45 4ee36f05gw1ez4wxj3cjoj20q40hejte 4ee36f05gw1ez4wxjfoapj20q40hemyp 4ee36f05gw1ez4wxjskl6j20q40heta3 4ee36f05gw1ez4wxkgngfj20q40he0ts    ,0
男子 警察 面 捅 死 报案人 被判 死缓   检方 抗诉 王伟 儿子 路遇 妹妹 殴打 轻伤 李长 元 遂 报警 警方 赶到 时 李长 元 持刀 追逐 两人 捅 死 王伟 之后 警方 制服 济南市 中院 一审 时 判处 李长 元 死缓 检方 随即 抗诉 认为 缓刑 量刑 明显 不当 应 依法严惩 该案 重审 O 山东 男子 警察 面 捅 死 报案人   审判 死缓 检方 抗诉 ,4ee36f05gw1ez4sg1527uj20b308475d 4ee36f05gw1ez4sg1dviaj20b4086dgv 4ee36f05gw1ez4sg2fkt9j20b4089dgx 4ee36f05gw1ez4sg2m344j20b408cgmq      ,0
# 突发 # 清华大学 实验室 着火 网友 爆料 今日 上午 北京 清华大学 何添楼 实验室 着火 起火 原因 不明 O 北京 清华大学 实验室 着火 . 图 ,60718250jw1ez3nqb3yjdj20ci0m8gmv 60718250jw1ez3nqb7fzrj20fa0kd74z 60718250jw1ez3nqbcfrgj20fa0bgdga 60718250jw1ez3nqgm9rwj20c80lq400 60718250jw1ez3nqz4739j20go0gomyn     ,0
" 杭州 & quot ; 进 图书馆 前 洗手 & quot ; 老人 车祸 身亡   捐 遗体 去年 名为 韦思浩 拾荒老人 看书 前 自发 洗手 , 引起 很多 关注 一名 退休 教师 退休 工资 每月 五千多 省吃俭用 捡些 瓶瓶罐罐 化名 大部分 收入 用于 捐资助学 签 遗体 捐赠 志愿 表 13 日 老人 被车撞 伤 医治无效 身亡 O 杭州 & quot ; 进 图书馆 前 洗手 & quot ; 老人 遇 车祸 身亡   捐 遗体  ",4ee36f05gw1ez2qpezz3tj20b407e74k 4ee36f05gw1ez2qpfmlecj20f007q74l 4ee36f05gw1ez2qpja1pgj20qe0hl42y 4ee36f05gw1ez2qrv6lv8j2096064t8r 4ee36f05gw1ez2qrytuckj209605kaag 4ee36f05gw1ez2qsommhoj20gl09y74y 4ee36f05gw1ez2qsrkas5j20c806v755 4ee36f05gw1ez2qst0593j20c806tq3h 4ee36f05gw1ez2qsugztjj20c806wmxz ,0
# 南 即时 # # 惠州 男子 劫持 女童 连划 多刀 #   民警 警告 无效 击毙 今天上午 广东 惠州 龙门县 谷行 街 一名 男子 劫持 一名 岁 女童 多次 用刀 伤害 目击者 称 男子 坐在 凳子 用刀 女孩 胸口 脖子 间 连划 多刀 民警 警告 无效 男子 击毙 现场 民警 证实 女童 已经 送医 救治 O 突发 ｜ 广东 惠州 龙门 民警 开枪 击毙 劫持 小孩 男子 -- 并读 新闻 ,6204ece1gw1ez2k516xn0j20iw0clmy3 6204ece1gw1ez2k51qq9qj20iw0bxjs8 6204ece1gw1ez2k526r0lj20iw0b23zb 6204ece1gw1ez2k52qleaj20iw0c3gmi 6204ece1gw1ez2k53hx4aj20qo0zkgps 6204ece1gw1ez2k549tjbj20qo0zkgq4    ,0
网 曝 湖北 巴东 村民 公安局 职工 持枪 打死   官方 系协警 网 曝 12 月 日 巴东县 村民 王某 派出所 职工 董世军 持枪 打死 网帖 称 事发 巴东县 公安局 董世军 摆弄 气枪 过失犯罪 草草 结案 劝 签署 追究 董世军 行政责任 刑事责任 谅解 书 官方 回应 董世军系 协警 刑拘 O 湖北 巴东 村民 公安局 职工 持枪 打死 官方 系协警 ,4ee36f05jw1eyy9jhigkrj20dc0gi750 4ee36f05jw1eyy9jkew0jj20dc0hsaaq        ,0
